Feature Set;Oversampling Method;Classifier;Best Params;ROC-AUC;Test Balanced Accuracy;Test Precision;Test Recall;Test F1-Score;Test ROC-AUC
ANOVA;SMOTE;RandomForest;{'classifier__bootstrap': False, 'classifier__max_depth': 3, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 93};0.588;0.5;0.667;1;0.8;0.235
ANOVA;SMOTE;KNN;{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 3, 'classifier__weights': 'uniform'};0.607;0.5;0.667;1;0.8;0.414
ANOVA;SMOTE;XGBoost;{'classifier__colsample_bytree': 0.9964767468550163, 'classifier__learning_rate': 0.03528055248515828, 'classifier__max_depth': 8, 'classifier__n_estimators': 157, 'classifier__subsample': 0.7362109885023462};0.574;0.5;0.667;1;0.8;0.5
RF;SMOTE;LogisticRegression;{'classifier__C': 6.034485390081265, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'};0.675;0.5;0.667;1;0.8;0.426
ANOVA;SMOTE;MLPC;{'classifier__solver': 'lbfgs', 'classifier__max_iter': 300, 'classifier__learning_rate': 'adaptive', 'classifier__hidden_layer_sizes': (20,), 'classifier__early_stopping': True, 'classifier__alpha': 0.001, 'classifier__activation': 'relu'};0.64;0.5;0.667;1;0.8;0.315
ANOVA;SMOTETomek;RandomForest;{'classifier__bootstrap': False, 'classifier__max_depth': 4, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 3, 'classifier__n_estimators': 95};0.56;0.5;0.667;1;0.8;0.296
ANOVA;SMOTETomek;KNN;{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 3, 'classifier__weights': 'distance'};0.593;0.5;0.667;1;0.8;0.534
ANOVA;SMOTETomek;SVM;{'classifier__C': 0.17487934816630912, 'classifier__gamma': 'scale', 'classifier__kernel': 'rbf'};0.667;0.5;0.667;1;0.8;0.525
ANOVA;SMOTETomek;XGBoost;{'classifier__colsample_bytree': 0.8344811964306701, 'classifier__learning_rate': 0.03224407396351247, 'classifier__max_depth': 7, 'classifier__n_estimators': 133, 'classifier__subsample': 0.6894150195855671};0.567;0.5;0.667;1;0.8;0.475
ANOVA;SMOTETomek;MLPC;{'classifier__solver': 'adam', 'classifier__max_iter': 300, 'classifier__learning_rate': 'constant', 'classifier__hidden_layer_sizes': (50, 30), 'classifier__early_stopping': True, 'classifier__alpha': 0.0001, 'classifier__activation': 'logistic'};0.609;0.5;0.667;1;0.8;0.549
AllFeatures;RandomOverSampler;LogisticRegression;{'classifier__C': 7.282401436844547, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'};0.617;0.5;0.667;1;0.8;0.506
AllFeatures;RandomOverSampler;RandomForest;{'classifier__bootstrap': False, 'classifier__max_depth': 5, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 9, 'classifier__n_estimators': 101};0.609;0.5;0.667;1;0.8;0.346
AllFeatures;ADASYN;MLPC;{'classifier__solver': 'adam', 'classifier__max_iter': 300, 'classifier__learning_rate': 'adaptive', 'classifier__hidden_layer_sizes': (20,), 'classifier__early_stopping': True, 'classifier__alpha': 0.0001, 'classifier__activation': 'relu'};0.6;0.5;0.667;1;0.8;0.432
AllFeatures;ADASYN;XGBoost;{'classifier__colsample_bytree': 0.7126479822193276, 'classifier__learning_rate': 0.15321763768004312, 'classifier__max_depth': 4, 'classifier__n_estimators': 75, 'classifier__subsample': 0.8126930369218734};0.617;0.5;0.667;1;0.8;0.463
AllFeatures;ADASYN;SVM;{'classifier__C': 2.5899563807819357, 'classifier__gamma': 'scale', 'classifier__kernel': 'rbf'};0.575;0.5;0.667;1;0.8;0.475
AllFeatures;ADASYN;KNN;{'classifier__metric': 'manhattan', 'classifier__n_neighbors': 11, 'classifier__weights': 'distance'};0.554;0.5;0.667;1;0.8;0.414
AllFeatures;ADASYN;LogisticRegression;{'classifier__C': 5.890145188953979, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'};0.603;0.5;0.667;1;0.8;0.512
AllFeatures;SMOTETomek;MLPC;{'classifier__solver': 'lbfgs', 'classifier__max_iter': 100, 'classifier__learning_rate': 'constant', 'classifier__hidden_layer_sizes': (30, 20), 'classifier__early_stopping': True, 'classifier__alpha': 0.001, 'classifier__activation': 'relu'};0.562;0.5;0.667;1;0.8;0.42
AllFeatures;SMOTETomek;XGBoost;{'classifier__colsample_bytree': 0.8946267605237099, 'classifier__learning_rate': 0.10992451725619165, 'classifier__max_depth': 3, 'classifier__n_estimators': 124, 'classifier__subsample': 0.6675477230259942};0.599;0.5;0.667;1;0.8;0.438
AllFeatures;SMOTETomek;SVM;{'classifier__C': 2.5899563807819357, 'classifier__gamma': 'scale', 'classifier__kernel': 'rbf'};0.54;0.5;0.667;1;0.8;0.383
AllFeatures;SMOTETomek;KNN;{'classifier__metric': 'manhattan', 'classifier__n_neighbors': 7, 'classifier__weights': 'distance'};0.547;0.5;0.667;1;0.8;0.383
AllFeatures;SMOTETomek;LogisticRegression;{'classifier__C': 4.501513149317164, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'};0.623;0.5;0.667;1;0.8;0.481
AllFeatures;SMOTETomek;RandomForest;{'classifier__bootstrap': False, 'classifier__max_depth': 4, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 3, 'classifier__n_estimators': 95};0.608;0.5;0.667;1;0.8;0.333
AllFeatures;SMOTE;MLPC;{'classifier__solver': 'lbfgs', 'classifier__max_iter': 100, 'classifier__learning_rate': 'adaptive', 'classifier__hidden_layer_sizes': (20,), 'classifier__early_stopping': True, 'classifier__alpha': 0.001, 'classifier__activation': 'logistic'};0.605;0.5;0.667;1;0.8;0.494
AllFeatures;SMOTE;XGBoost;{'classifier__colsample_bytree': 0.6901416652770782, 'classifier__learning_rate': 0.14403485937853913, 'classifier__max_depth': 4, 'classifier__n_estimators': 77, 'classifier__subsample': 0.6382168615441461};0.605;0.5;0.667;1;0.8;0.444
AllFeatures;SMOTE;SVM;{'classifier__C': 2.5899563807819357, 'classifier__gamma': 'scale', 'classifier__kernel': 'rbf'};0.567;0.5;0.667;1;0.8;0.407
AllFeatures;SMOTE;KNN;{'classifier__metric': 'manhattan', 'classifier__n_neighbors': 7, 'classifier__weights': 'distance'};0.563;0.5;0.667;1;0.8;0.432
ANOVA;ADASYN;RandomForest;{'classifier__bootstrap': False, 'classifier__max_depth': 4, 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 136};0.614;0.5;0.667;1;0.8;0.333
ANOVA;ADASYN;LogisticRegression;{'classifier__C': 2.868273884771829, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'};0.594;0.5;0.667;1;0.8;0.617
ANOVA;ADASYN;KNN;{'classifier__metric': 'manhattan', 'classifier__n_neighbors': 9, 'classifier__weights': 'distance'};0.597;0.5;0.667;1;0.8;0.429
LASSO;SMOTETomek;KNN;{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 11, 'classifier__weights': 'uniform'};0.573;0.5;0.667;1;0.8;0.312
AllFeatures;SMOTE;LogisticRegression;{'classifier__C': 7.282401436844547, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'};0.603;0.5;0.667;1;0.8;0.506
